GLOBAL UNIQUE IDENTIFIER,LAST EDITED DATE,TAXONOMIC ORDER,CATEGORY,TAXON CONCEPT ID,COMMON NAME,SCIENTIFIC NAME,SUBSPECIES COMMON NAME,SUBSPECIES SCIENTIFIC NAME,EXOTIC CODE,OBSERVATION COUNT,BREEDING CODE,BREEDING CATEGORY,BEHAVIOR CODE,AGE/SEX,COUNTRY,COUNTRY CODE,STATE,STATE CODE,COUNTY,COUNTY CODE,IBA CODE,BCR CODE,USFWS CODE,ATLAS BLOCK,LOCALITY,LOCALITY ID,LOCALITY TYPE,LATITUDE,LONGITUDE,OBSERVATION DATE,TIME OBSERVATIONS STARTED,OBSERVER ID,SAMPLING EVENT IDENTIFIER,PROTOCOL TYPE,PROTOCOL CODE,PROJECT CODE,DURATION MINUTES,EFFORT DISTANCE KM,EFFORT AREA HA,NUMBER OBSERVERS,ALL SPECIES REPORTED,GROUP IDENTIFIER,HAS MEDIA,APPROVED,REVIEWED,REASON,TRIP COMMENTS,SPECIES COMMENTS
URN:CornellLabOfOrnithology:EBIRD:OBS113264021,2017-01-30 12:42:37,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,1,,,,,United States,US,California,US-CA,Alameda,US-CA-001,US-CA_140,32,,,Mines Rd.--MP 5.75 (ALA Co.),L1487778,H,37.607023,-121.6708019,2011-02-13,10:39:00,obsr103121,S7912043,Stationary,P21,EBIRD,6,,,2,1,G242051,0,1,0,,,Second year.
URN:CornellLabOfOrnithology:EBIRD:OBS111018473,2016-08-09 15:14:07,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,1,,,,,United States,US,California,US-CA,Alameda,US-CA-001,US-CA_140,32,,,"Lake Del Valle, north",L1103059,P,37.5901591,-121.7141604,2011-02-25,15:00:00,obsr125268,S7758464,Traveling,P22,EBIRD,120,3.219,,1,1,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS109982181,2021-04-02 4:13:46,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,X,,,,,United States,US,California,US-CA,Alameda,US-CA-001,US-CA_140,32,,,Del Valle Regional Park,L274775,H,37.5851261,-121.6988182,2011-02-20,8:30:00,obsr34360,S7700748,Traveling,P22,EBIRD,180,4.828,,1,1,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS113263971,2016-03-16 16:34:16,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,1,,,,"Unknown Sex, Immature (1)",United States,US,California,US-CA,Alameda,US-CA-001,US-CA_140,32,,,Mines Rd - Random pt 3,L1123500,P,37.60888,-121.67628,2011-02-13,10:39:00,obsr57292,S7912040,Stationary,P21,EBIRD,6,,,2,1,G242051,0,1,0,,,Second year.
URN:CornellLabOfOrnithology:EBIRD:OBS113308696,2021-04-02 4:13:46,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,1,,,,,United States,US,California,US-CA,Alameda,US-CA-001,US-CA_140,32,,,Del Valle Regional Park,L274775,H,37.5851261,-121.6988182,2011-03-26,8:30:00,obsr203071,S7915002,Traveling,P22,EBIRD,120,3.219,,3,1,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS113711572,2016-08-09 15:13:09,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,1,,,,,United States,US,California,US-CA,Alameda,US-CA-001,US-CA_140,32,,,Del Valle SRA campground,L1127346,P,37.5684942,-121.6872311,2011-03-30,8:30:00,obsr57626,S7942346,Area,P23,EBIRD,45,,4.0469,1,1,,0,1,0,,"A WONDERFUL MORNING WARM NO WIND OR RAIN, NO ONE IN THE PARK.",
URN:CornellLabOfOrnithology:EBIRD:OBS111877513,2018-08-03 1:50:01,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,1,,,,,United States,US,California,US-CA,Alameda,US-CA-001,US-CA_140,32,,,Del Valle Regional Park,L274775,H,37.5851261,-121.6988182,2011-03-07,10:05:00,obsr159439,S7813456,Traveling,P22,EBIRD,120,3.219,,1,1,,0,1,0,,"Eagle''s View, Equestrian Camping parking lot (eagle on southwest hills), by the bridge, and Marina only.",
URN:CornellLabOfOrnithology:EBIRD:OBS112167365,2017-08-16 7:12:24,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,1,,,,,United States,US,California,US-CA,Alameda,US-CA-001,US-CA_140,32,,,Del Valle EBRP,L893283,P,37.606181,-121.7350388,2011-03-12,6:15:00,obsr57626,S7833576,Traveling,P22,EBIRD,120,9.656,,1,1,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS112834599,2023-07-29 13:21:46,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,X,,,,,United States,US,California,US-CA,Alameda,US-CA-001,US-CA_140,32,,,Del Valle Regional Park,L274775,H,37.5851261,-121.6988182,2011-03-20,11:45:00,obsr34360,S7880778,Traveling,P22,EBIRD,180,4.828,,1,1,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS111637898,2021-04-02 4:13:46,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,X,,,,,United States,US,California,US-CA,Alameda,US-CA-001,US-CA_140,32,,,Del Valle Regional Park,L274775,H,37.5851261,-121.6988182,2011-03-05,8:00:00,obsr34360,S7798813,Traveling,P22,EBIRD,180,4.828,,1,1,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS113428817,2021-04-02 4:13:46,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,X,,,,,United States,US,California,US-CA,Alameda,US-CA-001,US-CA_140,32,,,Del Valle Regional Park,L274775,H,37.5851261,-121.6988182,2011-03-27,8:30:00,obsr34360,S7923537,Traveling,P22,EBIRD,180,4.828,,1,1,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS112267473,2021-03-18 22:09:56,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,X,,,,,United States,US,California,US-CA,Alameda,US-CA-001,US-CA_140,32,,,Del Valle Regional Park,L274775,H,37.5851261,-121.6988182,2011-03-12,8:00:00,obsr34360,S7841986,Traveling,P22,EBIRD,180,4.828,,1,1,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS266091740,2022-10-21 8:50:58,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,1,,,,,United States,US,California,US-CA,Alameda,US-CA-001,,32,,,Lake Elizabeth,L452554,H,37.5478778,-121.9604301,2011-03-12,,obsr452262,S19309052,Incidental,P20,EBIRD,,,,1,1,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS115377011,2011-04-17 22:28:40,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,2,,,,,United States,US,California,US-CA,Alameda,US-CA-001,US-CA_140,32,,,Del Valle Dam,L909918,P,37.6143674,-121.7479134,2011-04-16,11:00:00,obsr203071,S8056144,Traveling,P22,EBIRD,120,3.219,,12,1,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS113935777,2021-04-02 4:13:46,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,X,,,,,United States,US,California,US-CA,Alameda,US-CA-001,US-CA_140,32,,,Del Valle Regional Park,L274775,H,37.5851261,-121.6988182,2011-04-02,8:00:00,obsr34360,S7958447,Traveling,P22,EBIRD,180,4.828,,1,1,,0,1,0,,,
