GLOBAL UNIQUE IDENTIFIER,LAST EDITED DATE,TAXONOMIC ORDER,CATEGORY,TAXON CONCEPT ID,COMMON NAME,SCIENTIFIC NAME,SUBSPECIES COMMON NAME,SUBSPECIES SCIENTIFIC NAME,EXOTIC CODE,OBSERVATION COUNT,BREEDING CODE,BREEDING CATEGORY,BEHAVIOR CODE,AGE/SEX,COUNTRY,COUNTRY CODE,STATE,STATE CODE,COUNTY,COUNTY CODE,IBA CODE,BCR CODE,USFWS CODE,ATLAS BLOCK,LOCALITY,LOCALITY ID,LOCALITY TYPE,LATITUDE,LONGITUDE,OBSERVATION DATE,TIME OBSERVATIONS STARTED,OBSERVER ID,SAMPLING EVENT IDENTIFIER,PROTOCOL TYPE,PROTOCOL CODE,PROJECT CODE,DURATION MINUTES,EFFORT DISTANCE KM,EFFORT AREA HA,NUMBER OBSERVERS,ALL SPECIES REPORTED,GROUP IDENTIFIER,HAS MEDIA,APPROVED,REVIEWED,REASON,TRIP COMMENTS,SPECIES COMMENTS
URN:CornellLabOfOrnithology:EBIRD:OBS240219006,2014-03-17 12:15:45,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,1,,,,,United States,US,California,US-CA,Alameda,US-CA-001,US-CA_140,32,,,Sunol Regional Wilderness,L302253,H,37.5243214,-121.8211288,2001-01-13,,obsr457152,S17477531,Incidental,P20,EBIRD,,,,1,0,,0,1,0,,,"Maguire Peak loop - NE corner of park, flew out over San Antonio lake"
URN:CornellLabOfOrnithology:EBIRD:OBS209973157,2021-04-01 2:15:55,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,1,,,,"Unknown Sex, Adult (1)",United States,US,California,US-CA,Fresno,US-CA-019,,32,,,Millerton Lake State Recreation Area (FRE Co.),L489695,H,36.9899393,-119.6888351,2001-01-19,,obsr238932,S15103356,Incidental,P20,EBIRD,,,,2,1,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS590899829,2024-09-09 22:58:16,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,X,,,,,United States,US,California,US-CA,Glenn,US-CA-021,US-CA_231,32,USFWS_659,,Sacramento NWR,L168785,H,39.405434,-122.17191,2001-01-28,,obsr22550,S43888960,Historical,P62,EBIRD,,,,1,0,,0,1,0,,Historical baseline county records with no notes on numbers,
URN:CornellLabOfOrnithology:EBIRD:OBS19136704,2010-08-27 15:23:17,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,1,,,,,United States,US,California,US-CA,Humboldt,US-CA-023,,5,,,Ravencliff,L188843,P,40.12773,-123.82292,2001-01-21,,obsr34263,S1507893,Incidental,P20,EBIRD,,,,1,0,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS126115678,2011-09-15 11:42:39,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,1,,,,,United States,US,California,US-CA,Inyo,US-CA-027,US-CA_214,9,,,Tinemaha Reservoir,L601731,H,37.0601088,-118.2279968,2001-01-13,13:30:00,obsr204942,S8804722,Traveling,P22,EBIRD,30,3.219,,2,1,G295537,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS126215196,2011-09-15 11:42:39,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,1,,,,,United States,US,California,US-CA,Inyo,US-CA-027,US-CA_214,9,,,Tinemaha Reservoir,L601731,H,37.0601088,-118.2279968,2001-01-13,13:30:00,obsr140586,S8812670,Traveling,P22,EBIRD,30,3.219,,2,1,G295537,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS196601881,2013-05-17 20:59:51,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,1,,,,"Unknown Sex, Adult (1)",United States,US,California,US-CA,Inyo,US-CA-027,,9,,,Pleasant Valley Reservoir,L760658,H,37.4234802,-118.5381889,2001-01-30,12:00:00,obsr129120,S14111839,Traveling,P22,EBIRD,60,3.219,,1,0,,0,1,0,,Quick lunch trip,
URN:CornellLabOfOrnithology:EBIRD:OBS126114863,2021-03-25 11:21:28,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,1,,,,,United States,US,California,US-CA,Inyo,US-CA-027,,9,,,Round Valley,L826037,H,37.4211626,-118.5774994,2001-01-12,7:45:00,obsr204942,S8804660,Traveling,P22,EBIRD,235,16.093,,2,1,G295533,0,1,0,,USFWS Bald Eagle Survey,
URN:CornellLabOfOrnithology:EBIRD:OBS126214685,2021-03-25 11:21:28,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,1,,,,,United States,US,California,US-CA,Inyo,US-CA-027,,9,,,Round Valley,L826037,H,37.4211626,-118.5774994,2001-01-12,7:45:00,obsr140586,S8812633,Traveling,P22,EBIRD,235,16.093,,2,1,G295533,0,1,0,,USFWS Bald Eagle Survey,
URN:CornellLabOfOrnithology:EBIRD:OBS102440605,2010-12-02 13:51:53,8271,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,X,,,,,United States,US,California,US-CA,Kern,US-CA-029,,32,,,Lake Isabella,L639686,H,35.6609784,-118.4233475,2001-01-12,9:00:00,obsr194146,S7190157,Traveling,P22,EBIRD,120,6.437,,1,0,,0,1,0,,,
