region,species,year,spawners,smoothedSpawners,runsize,smoothedRunsize,spawners_short_trend,spawners_short_trend_lwr,spawners_short_trend_upr,spawners_long_trend,spawners_long_trend_lwr,spawners_long_trend_upr,runsize_short_trend,runsize_short_trend_lwr,runsize_short_trend_upr,runsize_long_trend,runsize_long_trend_lwr,runsize_long_trend_upr,datasetversion
Yukon,Chinook,1982,36243.55,36243.56,163100.43,163100.44,NA,NA,NA,53408.25469,48029.72093,59389.09519,NA,NA,NA,215280.4614,192392.4937,240891.2954,20240719
Yukon,Chinook,1983,56152.47,45112.81168,183906.96,173191.5348,NA,NA,NA,53245.03706,48065.79113,58982.36365,NA,NA,NA,208547.0847,187128.7509,232416.9125,20240719
Yukon,Chinook,1984,68931.36,51960.36986,138446.79,160735.6021,NA,NA,NA,53082.31823,48099.28297,58581.59071,NA,NA,NA,202024.3093,181998.5811,224253.5152,20240719
Yukon,Chinook,1985,39518.4,48523.71475,157689.94,159968.7182,NA,NA,NA,52920.09668,48129.88131,58187.06708,NA,NA,NA,195705.5484,176997.6966,216390.735,20240719
Yukon,Chinook,1986,50493.53,48911.4341,176468.02,163140.301,NA,NA,NA,52758.37088,48157.22588,57799.12873,NA,NA,NA,189584.4207,172121.8355,208818.6689,20240719
Yukon,Chinook,1987,34240.4,46089.12784,177744.31,165488.1895,NA,NA,NA,52597.13932,48180.90461,57418.16362,NA,NA,NA,183654.745,167366.7506,201527.8737,20240719
Yukon,Chinook,1988,49113.45,48483.44117,159524.5,164877.8766,NA,NA,NA,52436.40049,48200.44613,57044.61923,NA,NA,NA,177910.5331,162728.1981,194509.3608,20240719
Yukon,Chinook,1989,61021.28,49160.03431,166704.07,162201.0741,NA,NA,NA,52276.15289,48215.31168,56679.01057,NA,NA,NA,172345.9843,158201.9278,187754.5913,20240719
Yukon,Chinook,1990,86489.34,51054.78651,179393.25,169358.7316,NA,NA,NA,52116.395,48224.88677,56321.92858,NA,NA,NA,166955.4792,153783.6743,181255.469,20240719
Yukon,Chinook,1991,52397.42,53512.45616,142804.77,166583.0134,NA,NA,NA,51957.12535,48228.4729,55974.04836,NA,NA,NA,161733.5741,149469.1519,175004.3313,20240719
