region,species,type,current_status,short_trend,short_trend_cat,long_trend,long_trend_cat,current_abundance,current_abundance_year,average_abundance,previous_gen_abundance,gen_length,nyears,rangeyears,datasetversion
Yukon,Chinook,Spawners,-0.461285881,-0.018191532,arrows-left-right,-0.003056037,arrows-left-right,27021.9739,2023,50160.13682,53406.10743,6,42,1982-2023,20240719
Yukon,Chinook,Run Size,-0.673858112,-0.046279811,arrow-down,-0.031277231,arrow-down,36601.68691,2023,112226.2681,67935.63735,6,42,1982-2023,20240719
Yukon,Chum,Spawners,-0.722276301,-0.139162835,arrow-down,0.026932714,arrow-up,22698.6212,2023,81730.94796,173049.4731,4,44,1980-2023,20240719
Yukon,Chum,Run Size,-0.85743211,-0.1605616,arrow-down,-0.019715066,arrows-left-right,23484.48627,2023,164724.9335,302125.3953,4,23,2001-2023,20240719
Yukon,Coho,Spawners,NA,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,20240719
Yukon,Coho,Run Size,NA,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,20240719
Yukon,Pink,Spawners,NA,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,20240719
Yukon,Pink,Run Size,NA,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,20240719
Yukon,Sockeye,Spawners,NA,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,20240719
Yukon,Sockeye,Run Size,NA,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,20240719
Yukon,Steelhead,Spawners,NA,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,20240719
Yukon,Steelhead,Run Size,NA,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,20240719
Transboundary,Chinook,Spawners,-0.494940112,-0.054211115,arrow-down,-0.011798916,arrow-down,28754.21266,2023,56932.28342,28933.98492,5,48,1976-2023,20240719
Transboundary,Chinook,Run Size,-0.559954271,-0.085077417,arrow-down,-0.007754661,arrows-left-right,30892.556,2023,70203.0583,36824.96287,5,48,1976-2023,20240719
Transboundary,Chum,Spawners,-0.77291848,-0.127590484,arrow-down,-0.05026034,arrow-down,58.46622901,2023,257.4680186,87.58629499,4,40,1984-2023,20240719
Transboundary,Chum,Run Size,NA,NA,,NA,,NA,NA,NA,NA,4,NA,NA,20240719
Transboundary,Coho,Spawners,-0.138500666,-0.03460699,arrow-down,-0.003471794,arrows-left-right,71835.8498,2023,83384.68412,72042.93532,5,32,1992-2023,20240719
Transboundary,Coho,Run Size,-0.2251027,-0.038945998,arrow-down,-0.011385397,arrow-down,91548.04392,2023,118142.164,100385.8826,5,32,1992-2023,20240719
Transboundary,Pink,Spawners,-0.599378665,-0.014389182,arrows-left-right,-0.02490661,arrow-down,3806.857679,2023,9502.383789,11301.16662,2,40,1984-2023,20240719
Transboundary,Pink,Run Size,NA,NA,,NA,,NA,NA,NA,NA,2,NA,NA,20240719
Transboundary,Sockeye,Spawners,0.340549103,0.027708066,arrow-up,-0.000899377,arrows-left-right,163056.1292,2023,121633.8356,117950.6407,5,40,1984-2023,20240719
Transboundary,Sockeye,Run Size,-0.113897538,-0.010139813,arrow-down,-0.00119281,arrows-left-right,255461.9247,2023,288298.4029,255717.0042,5,40,1984-2023,20240719
Transboundary,Steelhead,Spawners,NA,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,20240719
Transboundary,Steelhead,Run Size,NA,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,20240719
Haida Gwaii,Chinook,Spawners,NA,0.073113873,arrow-up,0.003971878,arrows-left-right,NA,2006,1578.258014,NA,5,72,1935-2006,20240719
Haida Gwaii,Chinook,Run Size,NA,NA,,NA,,NA,NA,NA,NA,5,NA,NA,20240719
Haida Gwaii,Chum,Spawners,-0.683735425,-0.051756273,arrow-down,-0.016132602,arrow-down,90241.87937,2022,285336.6655,150623.7992,5,73,1950-2022,20240719
Haida Gwaii,Chum,Run Size,NA,NA,,NA,,NA,NA,NA,NA,5,NA,NA,20240719
Haida Gwaii,Coho,Spawners,-0.639153194,-0.077761827,arrow-down,-0.010187256,arrow-down,29293.963,2022,81181.16204,80461.75435,4,73,1950-2022,20240719
Haida Gwaii,Coho,Run Size,NA,NA,,NA,,NA,NA,NA,NA,4,NA,NA,20240719
Haida Gwaii,Pink,Spawners,-0.769917429,-0.213285524,arrows-left-right,-0.016097577,arrow-down,26783.04915,2022,116406.2496,140192.0773,2,73,1950-2022,20240719
Haida Gwaii,Pink,Run Size,NA,NA,,NA,,NA,NA,NA,NA,2,NA,NA,20240719
