year,month,bald_eagle_count,osprey_count,temperature,runsize,spawners,predicted_osprey_count,osprey_count_lag1,temp_lag1,fish_lag1,osprey_count_lag2,temp_lag2,fish_lag2,osprey_count_lag3,temp_lag3,fish_lag3,osprey_count_roll3,temp_roll3,fish_roll3
1994,7,11.0,132.0,0.51,2058768.1735636364,470649.1466818182,5.61,132.0,0.5,2058768.1735636364,154.0,0.52,2058768.1735636366,209.0,0.63,2058768.1735636364,139.33333333333334,0.5100000000000001,2058768.1735636366
1994,8,22.0,220.0,0.26,2058768.1735636364,470649.1466818182,5.720000000000001,132.0,0.51,2058768.1735636364,132.0,0.5,2058768.1735636364,154.0,0.52,2058768.1735636366,161.33333333333334,0.42333333333333334,2058768.1735636364
1994,9,33.0,396.0,0.46,2058768.1735636364,470649.1466818182,15.180000000000001,220.0,0.26,2058768.1735636364,132.0,0.51,2058768.1735636364,132.0,0.5,2058768.1735636364,249.33333333333334,0.41,2058768.1735636364
1994,10,33.0,286.0,0.51,2058768.1735636364,470649.1466818182,16.830000000000002,396.0,0.46,2058768.1735636364,220.0,0.26,2058768.1735636364,132.0,0.51,2058768.1735636364,300.6666666666667,0.41,2058768.1735636364
1994,11,55.0,176.0,0.62,2058768.1735636366,470649.1466818182,34.1,286.0,0.51,2058768.1735636364,396.0,0.46,2058768.1735636364,220.0,0.26,2058768.1735636364,286.0,0.5299999999999999,2058768.1735636366
1994,12,671.0,363.0,0.4,2058768.1735636364,470649.1466818182,268.40000000000003,176.0,0.62,2058768.1735636366,286.0,0.51,2058768.1735636364,396.0,0.46,2058768.1735636364,275.0,0.51,2058768.1735636361
1995,1,372.0,324.0,0.59,2061687.4842824999,954852.3496741666,219.48,363.0,0.4,2058768.1735636364,176.0,0.62,2058768.1735636366,286.0,0.51,2058768.1735636364,287.6666666666667,0.5366666666666666,2059741.277136591
1995,2,312.0,168.0,0.8,2061687.4842825,954852.3496741666,249.60000000000002,324.0,0.59,2061687.4842824999,363.0,0.4,2058768.1735636364,176.0,0.62,2058768.1735636366,285.0,0.5966666666666667,2060714.3807095455
1995,3,144.0,264.0,0.85,2061687.4842825,954852.3496741666,122.39999999999999,168.0,0.8,2061687.4842825,324.0,0.59,2061687.4842824999,363.0,0.4,2058768.1735636364,252.0,0.7466666666666667,2061687.4842825
1995,4,36.0,384.0,0.6,2061687.4842824999,954852.3496741666,21.599999999999998,264.0,0.85,2061687.4842825,168.0,0.8,2061687.4842825,324.0,0.59,2061687.4842824999,272.0,0.75,2061687.4842824999
1995,5,120.0,240.0,0.3,2061687.4842824999,954852.3496741666,36.0,384.0,0.6,2061687.4842824999,264.0,0.85,2061687.4842825,168.0,0.8,2061687.4842825,296.0,0.5833333333333334,2061687.4842824999
1995,6,12.0,480.0,0.25,2061687.4842824999,954852.3496741666,3.0,240.0,0.3,2061687.4842824999,384.0,0.6,2061687.4842824999,264.0,0.85,2061687.4842825,368.0,0.3833333333333333,2061687.4842824999
1995,7,24.0,156.0,0.26,2061687.4842825,954852.3496741666,6.24,480.0,0.25,2061687.4842824999,240.0,0.3,2061687.4842824999,384.0,0.6,2061687.4842824999,292.0,0.27,2061687.4842824999
1995,8,12.0,384.0,-0.03,2061687.4842824999,954852.3496741666,-0.36,156.0,0.26,2061687.4842825,480.0,0.25,2061687.4842824999,240.0,0.3,2061687.4842824999,340.0,0.16,2061687.4842824999
1995,9,12.0,1116.0,0.39,2061687.4842825,954852.3496741666,4.68,384.0,-0.03,2061687.4842824999,156.0,0.26,2061687.4842825,480.0,0.25,2061687.4842824999,552.0,0.2066666666666667,2061687.4842825
1995,10,24.0,468.0,0.05,2061687.4842825,954852.3496741666,1.2000000000000002,1116.0,0.39,2061687.4842825,384.0,-0.03,2061687.4842824999,156.0,0.26,2061687.4842825,656.0,0.1366666666666667,2061687.4842825
1995,11,120.0,264.0,0.4,2061687.4842824999,954852.3496741666,48.0,468.0,0.05,2061687.4842825,1116.0,0.39,2061687.4842825,384.0,-0.03,2061687.4842824999,616.0,0.28,2061687.4842824999
1995,12,144.0,240.0,0.52,2061687.4842825,954852.3496741666,74.88,264.0,0.4,2061687.4842824999,468.0,0.05,2061687.4842825,1116.0,0.39,2061687.4842825,324.0,0.32333333333333336,2061687.4842824999
1996,1,242.0,187.0,0.060000000000000005,1324321.6493363637,423434.8529036364,14.520000000000001,240.0,0.52,2061687.4842825,264.0,0.4,2061687.4842824999,468.0,0.05,2061687.4842825,230.33333333333334,0.3266666666666667,1815898.8726337878
1996,2,484.0,198.0,0.29,1324321.6493363637,423434.8529036364,140.35999999999999,187.0,0.060000000000000005,1324321.6493363637,240.0,0.52,2061687.4842825,264.0,0.4,2061687.4842824999,208.33333333333334,0.29,1570110.2609850757
1996,3,77.0,297.0,0.43,1324321.6493363637,423434.85290363635,33.11,198.0,0.29,1324321.6493363637,187.0,0.060000000000000005,1324321.6493363637,240.0,0.52,2061687.4842825,227.33333333333334,0.26,1324321.6493363637
1996,4,33.0,407.0,0.34,1324321.6493363637,423434.85290363635,11.22,297.0,0.43,1324321.6493363637,198.0,0.29,1324321.6493363637,187.0,0.060000000000000005,1324321.6493363637,300.6666666666667,0.35333333333333333,1324321.6493363637
1996,5,44.0,341.0,0.54,1324321.6493363637,423434.85290363635,23.76,407.0,0.34,1324321.6493363637,297.0,0.43,1324321.6493363637,198.0,0.29,1324321.6493363637,348.3333333333333,0.4366666666666667,1324321.6493363637
1996,6,44.0,363.0,0.57,1324321.6493363637,423434.85290363635,25.08,341.0,0.54,1324321.6493363637,407.0,0.34,1324321.6493363637,297.0,0.43,1324321.6493363637,370.3333333333333,0.4833333333333334,1324321.6493363637
1996,7,88.0,286.0,0.19,1324321.6493363637,423434.8529036364,16.72,363.0,0.57,1324321.6493363637,341.0,0.54,1324321.6493363637,407.0,0.34,1324321.6493363637,330.0,0.43333333333333335,1324321.6493363637
1996,8,0.0,1177.0,-0.01,1324321.6493363637,423434.85290363635,-0.0,286.0,0.19,1324321.6493363637,363.0,0.57,1324321.6493363637,341.0,0.54,1324321.6493363637,608.6666666666666,0.25,1324321.6493363637
1996,9,44.0,1419.0,0.24,1324321.6493363637,423434.85290363635,10.559999999999999,1177.0,-0.01,1324321.6493363637,286.0,0.19,1324321.6493363637,363.0,0.57,1324321.6493363637,960.6666666666666,0.13999999999999999,1324321.6493363637
