GLOBAL UNIQUE IDENTIFIER,LAST EDITED DATE,TAXONOMIC ORDER,CATEGORY,TAXON CONCEPT ID,COMMON NAME,SCIENTIFIC NAME,SUBSPECIES COMMON NAME,SUBSPECIES SCIENTIFIC NAME,EXOTIC CODE,OBSERVATION COUNT,BREEDING CODE,BREEDING CATEGORY,BEHAVIOR CODE,AGE/SEX,COUNTRY,COUNTRY CODE,STATE,STATE CODE,COUNTY,COUNTY CODE,IBA CODE,BCR CODE,USFWS CODE,ATLAS BLOCK,LOCALITY,LOCALITY ID,LOCALITY TYPE,LATITUDE,LONGITUDE,OBSERVATION DATE,TIME OBSERVATIONS STARTED,OBSERVER ID,SAMPLING EVENT IDENTIFIER,PROTOCOL TYPE,PROTOCOL CODE,PROJECT CODE,DURATION MINUTES,EFFORT DISTANCE KM,EFFORT AREA HA,NUMBER OBSERVERS,ALL SPECIES REPORTED,GROUP IDENTIFIER,HAS MEDIA,APPROVED,REVIEWED,REASON,TRIP COMMENTS,SPECIES COMMENTS
URN:CornellLabOfOrnithology:EBIRD:OBS71320669,2022-12-02 13:14:53,7737,species,avibase-1327AC55,Osprey,Pandion haliaetus,,,,1,,,,,United States,US,California,US-CA,Los Angeles,US-CA-037,,32,,,El Dorado Regional Park--Area 1 / Nature Center,L198926,H,33.8081641,-118.0867839,1994-01-09,8:00:00,obsr125809,S5060990,Traveling,P22,EBIRD,120,3.219,,3,1,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS1524006510,2025-01-06 18:50:57,7737,species,avibase-1327AC55,Osprey,Pandion haliaetus,,,,1,,,,,United States,US,California,US-CA,Marin,US-CA-041,BIRDLIFE_29512|US-CA_146,,,,Pt. Reyes--Limantour Spit,L479537,H,38.0291868,-122.912786,1994-01-08,8:00:00,obsr285597,S119220529,Traveling,P22,EBIRD,60,0.805,,1,1,,0,1,0,,"Overcast, starting to rain, 40's",
URN:CornellLabOfOrnithology:EBIRD:OBS631165104,2024-09-09 22:58:15,7737,species,avibase-1327AC55,Osprey,Pandion haliaetus,,,,X,,,,,United States,US,California,US-CA,Marin,US-CA-041,,32,,,Bolinas Lagoon--Pine Gulch,L590288,H,37.9209857,-122.6904202,1994-01-09,,obsr264917,S46556120,Historical,P62,EBIRD,,,,,1,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS42172629,2018-08-02 22:09:42,7737,species,avibase-1327AC55,Osprey,Pandion haliaetus,,,,1,,,,,United States,US,California,US-CA,Monterey,US-CA-053,US-CA_142,,,,Elkhorn Slough Reserve (NERR),L353255,H,36.8182308,-121.7364764,1994-01-13,,obsr127466,S2993923,Incidental,P20,EBIRD,,,,,0,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS834798673,2021-08-05 2:45:58,7737,species,avibase-1327AC55,Osprey,Pandion haliaetus,,,,1,,,,,United States,US,California,US-CA,Monterey,US-CA-053,BIRDLIFE_29509|US-CA_121,,,,Andrew Molera SP--Big Sur River mouth,L109487,H,36.2819875,-121.8595805,1994-01-17,8:00:00,obsr332747,S61981833,Historical,P62,EBIRD,240,4.828,,2,1,,0,1,0,,Birded with Jeff Davis,
URN:CornellLabOfOrnithology:EBIRD:OBS773713725,2019-06-10 21:06:25,7737,species,avibase-1327AC55,Osprey,Pandion haliaetus,,,,X,,,,,United States,US,California,US-CA,Napa,US-CA-055,US-CA_47,32,,,Lake Hennessey,L190006,H,38.4878242,-122.3693016,1994-01-06,,obsr110533,S57274790,Historical,P62,EBIRD,,,,1,1,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS894063676,2024-09-09 23:59:27,7737,species,avibase-1327AC55,Osprey,Pandion haliaetus,,,,1,,,,,United States,US,California,US-CA,Orange,US-CA-059,BIRDLIFE_26213|US-CA_205,,,,Newport Bay -- Upper and Back,L11126720,P,33.6332121,-117.8853752,1994-01-15,,obsr1516747,S67113778,Incidental,P20,EBIRD,,,,,0,G5179678,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS2821498151,2025-02-02 23:06:02,7737,species,avibase-1327AC55,Osprey,Pandion haliaetus,,,,1,,,,,United States,US,California,US-CA,Orange,US-CA-059,BIRDLIFE_26213|US-CA_205,32,,,Newport Back Bay,L859765,H,33.6264124,-117.8853178,1994-01-29,,obsr357750,S210962383,Historical,P62,EBIRD,,,,,1,,0,1,0,,,/SM / Newport Bay Reserv / Newport Beach / Orange County / California / United States / North America  /
URN:CornellLabOfOrnithology:EBIRD:OBS894074418,2024-09-09 23:59:59,7737,species,avibase-1327AC55,Osprey,Pandion haliaetus,,,,1,,,,,United States,US,California,US-CA,Orange,US-CA-059,BIRDLIFE_26213|US-CA_205,,,,Newport Bay -- Upper and Back,L11126720,P,33.6332121,-117.8853752,1994-01-15,,obsr1604517,S67114472,Incidental,P20,EBIRD,,,,,0,G5179678,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS715512431,2023-10-22 5:04:44,7737,species,avibase-1327AC55,Osprey,Pandion haliaetus,,,,X,,,,,United States,US,California,US-CA,Riverside,US-CA-065,BIRDLIFE_31373|US-CA_244,32,,,Lake Perris State Recreation Area,L285944,H,33.8622197,-117.1685886,1994-01-29,8:00:00,obsr1130189,S53135773,Historical,P62,EBIRD,600,,,15,1,G4561283,0,1,0,,"UCR bird study class to lake Mathews lead by Eugene Cardiff and Dori Myers . localities visited:  lake Mathews and San Macintosh wildlife reserve.  Habitats covered:  fresh water lakes, open grassy fields, riparian, and coastal sage. Weather clear and cool with gusty North wind.",
URN:CornellLabOfOrnithology:EBIRD:OBS813895993,2023-10-22 5:10:48,7737,species,avibase-1327AC55,Osprey,Pandion haliaetus,,,,X,,,,,United States,US,California,US-CA,Riverside,US-CA-065,BIRDLIFE_31373|US-CA_244,32,,,Lake Perris State Recreation Area,L285944,H,33.8622197,-117.1685886,1994-01-29,8:00:00,obsr281992,S60426841,Historical,P62,EBIRD,600,,,15,1,G4561283,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS42307623,2021-05-19 17:33:10,7737,species,avibase-1327AC55,Osprey,Pandion haliaetus,,,,X,,,,,United States,US,California,US-CA,Riverside,US-CA-065,,33,,,Salton Sea--Whitewater River Delta (restricted access),L163906,H,33.5063515,-116.0558152,1994-01-09,7:30:00,obsr116502,S3002961,Traveling,P22,EBIRD,495,56.325,,3,1,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS179142112,2024-09-10 13:43:05,7737,species,avibase-1327AC55,Osprey,Pandion haliaetus,,,,1,,,,,United States,US,California,US-CA,San Diego,US-CA-073,,32,,,Cabrillo NM,L280562,H,32.6742155,-117.2414321,1994-01-28,8:00:00,obsr59612,S12794733,Incidental,P20,EBIRD,,,,2,1,,0,1,0,,"This list was compiled on 2/01/2013 from old notes, very few of which gave the number of individual birds.  The abundances recorded are conservative, educated guesses based on several birding trips to the San Diego area.",
URN:CornellLabOfOrnithology:EBIRD:OBS894516572,2022-10-21 9:12:00,7737,species,avibase-1327AC55,Osprey,Pandion haliaetus,,,,1,,,,,United States,US,California,US-CA,Santa Clara,US-CA-085,US-CA_154,32,,,Palo Alto Baylands,L152122,H,37.459167,-122.10445,1994-01-25,7:55:00,obsr227080,S67148971,Traveling,P22,EBIRD,30,0.644,,1,0,,0,1,0,,,Flying northwest over the close shore of the bay
